FACTORID,SCC,LEVEL1,LEVEL2,LEVEL3,LEVEL4,MAP_TO,POLLUTANT,NEI_POLLUTANT_CODE,CAS,FACTOR,UNIT,MEASURE,MATERIAL,ACTION,FORMULA,CONTROL_1,CONTROLCODE_1,CONTROL_2,CONTROLCODE_2,CONTROL_3,CONTROLCODE_3,CONTROL_4,CONTROLCODE_4,CONTROL_5,CONTROLCODE_5,REF_DESC,NOTES,QUALITY,TEST_REPORT_RATING,CREATED,REVOKED,DUPCOUNT,DUPREASON,DATE_CSV_UPDATED,CONDITION,VARIABLE_DEFINITION,APPLICABILITY,DERIVATION
5795,10200505,External Combustion Boilers                           ,Industrial                                                            ,Distillate Oil                                                        ,Cogeneration                                                          ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Distillate Oil,Burned,1.436E+02*FS,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.3, Fuel Oil Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.,A,,1/1/1995,,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,
22966,50100102,Waste Disposal                                        ,Solid Waste Disposal - Government                     ,Municipal Incineration                                                ,Mass Burn: Single Chamber                                             ,,Sulfur oxides (SOx),,   ,1.7,Lb,Tons,Solid Waste,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
23020,50100103,Waste Disposal                                        ,Solid Waste Disposal - Government                     ,Municipal Incineration                                                ,Refuse Derived Fuel                                                   ,,Sulfur oxides (SOx),,   ,1.7,Lb,Tons,Refuse Derived Fuel,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",U,5,3/1/1990,,0,,4/18/2022,,,,
22944,50100101,Waste Disposal                                        ,Solid Waste Disposal - Government                     ,Municipal Incineration                                                ,Starved Air: Multiple Chamber                                         ,,Sulfur oxides (SOx),,   ,1.7,Lb,Tons,Solid Waste,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
24602,50300101,Waste Disposal                                        ,Solid Waste Disposal - Industrial                     ,Incineration                                                          ,Multiple Chamber                                                      ,,Sulfur oxides (SOx),,   ,2.5,Lb,Tons,Solid Waste,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
22062,31000414,Industrial Processes                                  ,Oil and Gas Production                                ,Process Heaters                                                       ,Natural Gas: Steam Generators                                         ,,Sulfur oxides (SOx),,   ,0.6,Lb,Million Standard Cubic Feet,Natural Gas,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,8/13/2021,,,,
21685,30790003,Industrial Processes                                  ,Pulp and Paper and Wood Products                      ,Fuel Fired Equipment                                                  ,Natural Gas: Process Heaters                                          ,30700401,Sulfur oxides (SOx),,   ,0.6,Lb,Million Standard Cubic Feet,Natural Gas,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,8/13/2021,,,,
21714,30890003,Industrial Processes                                  ,Rubber and Miscellaneous Plastics Products            ,Fuel Fired Equipment                                                  ,Natural Gas: Process Heaters                                          ,,Sulfur oxides (SOx),,   ,0.6,Lb,Million Standard Cubic Feet,Natural Gas,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,8/13/2021,,,,
19820,30590003,Industrial Processes                                  ,Mineral Products                                      ,Fuel Fired Equipment                                                  ,Natural Gas: Process Heaters                                          ,,Sulfur oxides (SOx),,   ,0.6,Lb,Million Standard Cubic Feet,Natural Gas,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,8/13/2021,,,,
9795,10300503,External Combustion Boilers                           ,Commercial/Institutional                              ,Distillate Oil                                                        ,< 10 Million Btu/hr **                                                ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Distillate Oil,Burned,1.436E+02*FS,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.3, Fuel Oil Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.,A,,1/1/1995,9/1/1998,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,
9817,10300504,External Combustion Boilers                           ,Commercial/Institutional                              ,Distillate Oil                                                        ,Grade 4 Oil                                                           ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Distillate Oil (No. 4),Burned,1.516E+02*FS,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.3, Fuel Oil Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.,A,,1/1/1995,9/1/1998,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,
28125,10300218,External Combustion Boilers                           ,Commercial/Institutional                              ,Bituminous/Subbituminous Coal                                         ,Atmospheric Fluidized Bed Combustion: Circulating Bed (Bitum. Coal)   ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,Tons,Bituminous Coal,Burned,3.10E+01*CS,UNCONTROLLED,0,,,,,,,,,"EPA.  September, 1998.  Section 1.1, Bituminous and Subbituminous Coal Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42, Supplement E.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,E,,3/30/2022,,0,,4/18/2022,,CS=Coal sulfur content (weight %),This formula applies to FBCs that do not use calcium-based sorbents where the bed material is inert with respect to sulfur capture.,
28126,10301001,External Combustion Boilers                           ,Commercial/Institutional                              ,Liquified Petroleum Gas (LPG)                                         ,Butane                                                                ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Butane,Burned,8.65E+01*FS,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.5, Liquefied Petroleum Gas Combustion. In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,E,,3/30/2022,12/1/1999,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,
28127,10301002,External Combustion Boilers                           ,Commercial/Institutional                              ,Liquified Petroleum Gas (LPG)                                         ,Propane                                                               ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Propane,Burned,8.65E+01*FS,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.5, Liquefied Petroleum Gas Combustion. In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,E,,3/30/2022,12/1/1999,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,
28128,10500110,External Combustion Boilers                           ,Space Heaters                                         ,Industrial                                                            ,Liquified Petroleum Gas (LPG)                                         ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Liquified Petroleum Gas (LPG),Burned,8.65E+01*FS,UNCONTROLLED,0,,,,,,,,,,,U,,3/30/2022,,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,
28129,10500210,External Combustion Boilers                           ,Space Heaters                                         ,Commercial/Institutional                              ,Liquified Petroleum Gas (LPG)                                         ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Liquified Petroleum Gas (LPG),Burned,8.65E+01*FS,UNCONTROLLED,0,,,,,,,,,,,U,,3/30/2022,,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,
9772,10300502,External Combustion Boilers                           ,Commercial/Institutional                              ,Distillate Oil                                                        ,10-100 Million Btu/hr **                                              ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Distillate Oil,Burned,1.436E+02*FS,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.3, Fuel Oil Combustion.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",Multiply the emission factor provided by the weight percent sulfur content of the fuel to obtain emission factor in lb/activity units.,A,,1/1/1995,9/1/1998,0,,4/18/2022,,FS=Fuel sulfur content (weight %),,
7994,10201001,External Combustion Boilers                           ,Industrial                                                            ,Liquified Petroleum Gas (LPG)                                         ,Butane                                                                ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Butane,Burned,9.00E-02*FC,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.5, Liquefied Petroleum Gas Combustion. In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,E,,1/1/1995,12/1/1999,0,,4/18/2022,,FC=Fuel sulfur concentration (gr/100 ft3 gas),,
8008,10201002,External Combustion Boilers                           ,Industrial                                                            ,Liquified Petroleum Gas (LPG)                                         ,Propane                                                               ,,Sulfur oxides (SOx),,    ,FORMULA,Lb,1000 Gallons,Propane,Burned,1.00E-01*FC,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.5, Liquefied Petroleum Gas Combustion. In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,E,,1/1/1995,12/1/1999,0,,4/18/2022,,FC=Fuel sulfur concentration (gr/100 ft3 gas),,
24655,50300105,Waste Disposal                                        ,Solid Waste Disposal - Industrial                     ,Incineration                                                          ,Conical Design (Tee Pee) Wood Refuse                                  ,,Sulfur oxides (SOx),,   ,0.1,Lb,Tons,Wood Refuse,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",B,60,3/1/1990,,0,,4/18/2022,,,,
24662,50300106,Waste Disposal                                        ,Solid Waste Disposal - Industrial                     ,Incineration                                                          ,Trench Burner: Wood                                                   ,,Sulfur oxides (SOx),,   ,0.1,Lb,Tons,Wood,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
24675,50300109,Waste Disposal                                        ,Solid Waste Disposal - Industrial                     ,Incineration                                                          ,Trench Burner: Refuse                                                 ,,Sulfur oxides (SOx),,   ,2.5,Lb,Tons,Refuse,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
24621,50300102,Waste Disposal                                        ,Solid Waste Disposal - Industrial                     ,Incineration                                                          ,Single Chamber                                                        ,,Sulfur oxides (SOx),,   ,2.5,Lb,Tons,Solid Waste,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
23377,50100507,Waste Disposal                                        ,Solid Waste Disposal - Government                     ,Other Incineration                                                    ,Conical Design (Tee Pee) Municipal Refuse                             ,,Sulfur oxides (SOx),,   ,2,Lb,Tons,Refuse,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 2.7, Conical Burners.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,D,30,1/1/1995,,0,,4/18/2022,,,,
23386,50100508,Waste Disposal                                        ,Solid Waste Disposal - Government                     ,Other Incineration                                                    ,Conical Design (Tee Pee) Wood Refuse                                  ,,Sulfur oxides (SOx),,   ,0.1,Lb,Tons,Wood Refuse,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 2.7, Conical Burners.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,D,30,1/1/1995,,0,,4/18/2022,,,,Moisture content as fired is approximately 50% for wood waste.
24175,50200302,Waste Disposal                                        ,Solid Waste Disposal - Commercial/Institutional       ,Apartment Incineration                                                ,Flue Fed with Afterburner and Draft Controls                          ,50600302,Sulfur oxides (SOx),,   ,0.5,Lb,Tons,Solid Waste,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
23393,50100510,Waste Disposal                                        ,Solid Waste Disposal - Government                     ,Other Incineration                                                    ,Trench Burner: Wood                                                   ,,Sulfur oxides (SOx),,   ,0.1,Lb,Tons,Wood,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
23403,50100512,Waste Disposal                                        ,Solid Waste Disposal - Government                     ,Other Incineration                                                    ,Trench Burner: Refuse                                                 ,,Sulfur oxides (SOx),,   ,2.5,Lb,Tons,Refuse,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
23569,50200102,Waste Disposal                                        ,Solid Waste Disposal - Commercial/Institutional       ,Incineration                                                          ,Single Chamber                                                        ,50600102,Sulfur oxides (SOx),,   ,2.5,Lb,Tons,Solid Waste,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"This factor was present in AIRS Facility Subsystem Source Classification Codes and Emission Factor Listing for Criteria Air Pollutants, March 1990, EPA 450/4-90-003.  ","This factor may have been (and may still be) in an AP-42 section, or it may have been added to that March 1990 document from other sources.  Please check the latest AP42 to verify.",A,80,3/1/1990,,0,,4/18/2022,,,,
25499,2104008030,Stationary Source Fuel Combustion                     ,Residential                                           ,Wood                                                                  ,Catalytic Woodstoves: General                                         ,2104008330,Sulfur oxides (SOx),,   ,0.4,Lb,Tons,Wood,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.10, Residential Wood Stoves.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,B,60,1/1/1995,,0,,4/18/2022,,,,
25436,2104008001,Stationary Source Fuel Combustion                     ,Residential                                           ,Wood                                                                  ,Fireplaces: General                                                   ,2104008100,Sulfur oxides (SOx),,   ,0.4,Lb,Tons,Wood,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.9, Residential Fireplaces.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,A,80,1/1/1995,,0,,4/18/2022,,,,
25529,2104008050,Stationary Source Fuel Combustion                     ,Residential                                           ,Wood                                                                  ,Non-catalytic Woodstoves: EPA certified                               ,2104008320,Sulfur oxides (SOx),,   ,0.4,Lb,Tons,Wood,Burned,FACTOR,UNCONTROLLED,0,,,,,,,,,"EPA.  1995.  Section 1.10, Residential Wood Stoves.  In: Compilation of Air Pollutant Emission Factors, Volume 1: Stationary Point and Area Sources, Fifth Edition, AP-42.  U.S. Environmental Protection Agency, Office of Air Quality Planning and Standards.  Research Triangle Park, North Carolina.",,B,60,1/1/1995,,0,,4/18/2022,,,,
