ft,lvl_1,lvl_2,fied_2017
"rotary drum dryer / mixer, natural gas, counterflow",Natural gas,Natural gas,naturalGas
"rotary drum dryer / mixer, natural gas, parallel flow",Natural gas,Natural gas,naturalGas
sawdust,Biomass,Wood and wood residuals,biomass
solid waste,Other,Municipal solid waste,other
tire-derived fuel,Waste,Tires,other
vent gas (Oxo Propane Recycle),Other,Vent gas (oxo propane recycle),other
waste oil,Petroleum products,Waste oil,other
wood,Biomass,Wood and wood residuals,biomass
wood residuals,Biomass,Wood and wood residuals,biomass
wood/bark waste,Biomass,Wood and wood residuals,biomass
Butane/Propane Mixture: Specify Percent Butane in Comments,Petroleum products,Liquified petroleum gases,
Specify Waste Material in Comments,Other,Other,
Refuse Derived Fuel,Other,Municipal solid waste,
Tire Derived Fuel : Shredded,Other,Tires,
Sludge Waste,Other ,Sludge waste,
"Agricultural Byproducts (rice or peanut hulls, shells, cow manure, etc",Biomass,Agricultural byproducts,
Paper Pellets,Other,Paper pellets,
Black Liquor,Biomass,Black liquor,
Red Liquor,Biomass,Red liquor,
Spent Sulfite Liquor,Biomass,Spent sulfite liquor,
Tall Oil,Biomass,Tall oil,
Wood/Wood Waste Liquid,Biomass,Wood and wood residuals,
Grade 6 oil,Petroleum products,Residual fuel oil No. 6,
Grade 5 Oil,Petroleum products,Residual fuel oil No. 5,
Grade 4 Oil,Petroleum products,Residual fuel oil No. 4,
Petroleum Refinery Gas,Petroleum products,Petroleum refinery gas,
Other: Specify in Comments,Other,Other,
Butane,Petroleum products,Butane,
Salable Animal Fat,Biomass,Salable animal fat,
WWTP Sludge,Biomass,WWTP sludge,
High Volume Low Concentration System Gases,Other,System gases,
Low Volume High Concentration System Gases,Other,System gases,
Non-Condensable Gases,Other,System gases,
Stripper Off-Gases,Other,Stripper off-gases,
Other Not Classified,Other,Other,
Sewage Grease Skimmings,Biomass,Sewage grease skimmings,
Anthracite Coal,Coal,Anthracite coal,coal
Hazardous Waste,Other,Hazardous waste,
Jet A Fuel,Petroleum products,Jet A,
